ID,ProdQlty,DelvySpeed,PriceLvl,PriceFlex,SalesforceImg,OverallSrvc,HatcoImg,Satisfaction,UsageLvl
57,9.6,1.5,4.4,7.4,4,4.6,6.9,6.2,72
58,7.7,3.4,2.5,9.6,3,4,5.5,6,75
59,4.4,4.3,1.8,7.6,2.5,3.1,5.4,5.6,56
60,8.7,2.3,4.5,8,2.2,3.3,4.7,5,60
61,3.8,4.1,1.9,9.9,3.1,2.6,4.5,4.8,64
62,4.5,5.1,1.9,9.2,2.3,3.6,5.8,6.1,70
63,7.4,4.1,1.1,9.3,2.7,2.5,5.5,5.3,57
64,6,3,3.8,5.5,2.6,3.4,4.9,4.2,46
65,10,1.1,2,7.2,3.2,1.6,4.7,3.4,50
66,6.8,3.7,1.4,9,2.3,2.6,4.5,4.9,55
67,7.3,4.2,2.5,9.2,3.9,3.3,6.2,6,69
68,7.1,1.6,4.5,6.4,2.5,3,5.3,4.5,56
69,4.8,5.3,1.7,8.5,1.9,3.5,3.7,4.3,68
70,9.1,2.3,3.7,8.3,2.3,3,5.2,4.8,59
71,8.4,3.6,5.4,5.9,2.9,4.5,6.2,5.4,60
72,5.3,5.6,2.2,8.2,1.6,4,3.1,3.9,71
73,4.9,3.6,2.2,9.9,1.9,2.9,4.8,4.9,61
74,7.3,5.2,1.3,9.1,2.7,3.3,4.5,5.1,70
75,8.2,3,2,6.6,2.7,2.4,6.6,4.1,51
76,8.5,4.2,2.4,9.4,2.7,3.2,4.9,5.2,59
77,5.3,3.8,0.8,8.3,2.6,2.2,6.1,5.1,52
78,5.2,3.3,2.6,9.7,1.5,2.9,3.3,5.1,57
79,9.9,1,1.9,7.1,3.1,1.5,4.5,3.3,49
80,6.8,4.5,1.6,8.7,2.1,3.1,4.6,5.1,66
81,4.9,5.5,1.8,8.7,2.1,3.6,3.8,4.5,69
82,6.3,3.4,4.6,5.5,4.4,4,8.2,5.6,57
83,8.2,1.6,2.8,6.1,3.8,2.3,6.4,4.1,51
84,7.4,2.3,3.7,7.6,2.5,3,5,4.4,53
85,6.8,2.6,3,8.5,2.8,2.8,6,5.6,63
86,9,2.5,3.1,7,2.2,2.8,4.2,3.7,53
87,6.7,2.4,2.9,8.4,2.7,2.7,5.9,5.5,61
88,7.2,2.1,3.5,7.4,2.3,2.8,4.8,4.3,46
89,8,2.9,1.2,7.3,2.5,2,6.1,4,44
90,7.4,4.3,2.5,9.3,4,3.4,6.3,6.1,70
91,7.9,3,2.8,7.8,3.8,3,7.1,4.4,59
92,5.8,4.8,1.7,7.6,1.4,3.3,4.2,5.5,52
93,5.9,3.1,4.2,5.1,4,3.6,7.8,5.2,53
94,8.2,1.9,2.7,5,2.5,2.2,4.9,3.6,46
95,5,4,0.5,6.7,2.1,2.2,4.5,4,41
96,8.4,0.6,1.6,6.4,2.1,0.7,5,3.4,35
97,7.1,3.6,0.5,9.2,2.8,3.3,4.8,5.2,70
98,8.4,2,2.8,5.2,2.7,2.4,5,3.7,48
99,8.4,3.1,2.2,6.7,2.9,2.6,6.8,4.3,52
100,6,2.5,1.8,9,3,2.2,5,4.4,49
