ID,Segment,Z1,Z2,Z3,Z4,Z5_1,Z5_2,Z5_3,Z5_4,Z5_5,Z5_6
101,0,57,4,94,1,0,0,0,0,0,1
102,0,45,3,84,4,0,0,0,0,0,1
103,0,20,3,70,1,0,0,0,0,0,1
104,0,63,4,120,1,0,0,0,0,0,1
105,0,44,4,109,2,0,0,0,0,1,0
106,0,28,3,89,1,0,0,0,0,1,0
107,0,42,3,70,3,0,0,0,0,0,1
108,0,34,4,82,2,0,1,0,0,0,0
109,0,54,4,93,2,0,0,0,0,1,0
110,0,18,3,92,2,0,0,0,0,0,1
111,0,50,4,108,2,0,0,0,0,0,1
112,0,26,3,121,1,0,0,0,0,1,0
113,0,61,3,93,3,0,0,0,0,0,1
114,0,56,3,86,4,0,0,0,1,0,0
115,0,43,3,103,3,0,0,0,0,0,1
116,0,45,2,69,5,0,0,0,0,1,0
117,0,45,3,85,4,0,0,0,0,1,0
118,0,25,3,58,3,0,0,0,0,0,1
119,0,21,3,90,3,0,0,0,0,1,0
120,1,51,4,122,2,0,0,0,0,0,1
121,0,21,3,74,2,0,0,0,0,0,1
122,0,28,3,93,2,0,0,0,0,1,0
123,0,34,4,96,2,1,0,0,0,0,0
124,0,32,4,97,2,0,0,0,0,1,0
125,0,43,3,108,1,0,0,0,0,0,1
126,0,22,3,80,5,0,0,0,0,0,1
127,0,46,3,97,2,0,0,1,0,0,0
128,0,23,3,97,2,1,0,0,0,0,0
129,0,48,2,93,3,0,0,0,0,1,0
130,0,34,3,83,1,0,0,0,0,0,1
131,0,21,3,89,4,0,0,0,0,1,0
132,0,28,3,104,2,0,0,0,0,0,1
133,0,45,4,70,2,0,0,0,0,1,0
134,0,39,3,90,1,0,0,1,0,0,0
135,1,29,2,75,4,0,0,0,0,0,1
136,1,53,2,62,4,0,0,0,0,0,1
137,1,46,2,30,5,1,0,0,0,0,0
138,1,28,2,51,6,0,0,0,1,0,0
139,1,61,3,66,7,0,1,0,0,0,0
140,1,54,3,52,7,1,0,0,0,0,0
141,1,43,2,68,4,0,0,0,0,0,1
142,1,64,1,43,6,0,1,0,0,0,0
143,1,31,2,46,5,0,0,0,1,0,0
144,1,53,2,52,5,0,0,0,0,0,1
145,1,28,2,55,6,1,1,0,0,0,0
146,1,62,1,67,6,1,0,0,0,0,0
147,1,30,2,25,6,0,0,1,0,0,0
148,1,23,1,73,5,0,1,0,0,0,0
149,1,27,2,31,7,1,0,0,0,0,0
150,1,43,2,43,3,0,0,0,0,0,1
